anio,nivel,circuito_id_crudo,circuito_id_canonico
2019,gobernador,000464,464
2019,gobernador,000465,465
2019,gobernador,000466,466
2019,gobernador,000467,467
2019,gobernador,000468,468
2019,gobernador,000469,469
2019,gobernador,000471,471
2019,gobernador,000472,472
2019,gobernador,000473,473
2019,gobernador,000474,474
2019,gobernador,000475,475
2019,gobernador,000476,476
2019,gobernador,000477,477
2019,gobernador,000480,480
2019,gobernador,000481,481
2019,gobernador,000482,482
2019,gobernador,000483,483
2019,gobernador,000484,484
2019,gobernador,000485,485
2019,gobernador,000486,486
2019,gobernador,000487,487
2019,gobernador,000488,488
2019,gobernador,000493,493
2019,gobernador,000495,495
2019,gobernador,000496,496
2019,gobernador,00496A,496A
2019,gobernador,00496B,496B
2019,gobernador,00496C,496C
2019,gobernador,00496D,496D
2019,gobernador,00496E,496E
2019,gobernador,000497,497
2019,gobernador,00497A,497A
2019,gobernador,00497B,497B
2019,gobernador,00497C,497C
2019,gobernador,00497D,497D
2019,gobernador,00497E,497E
2019,gobernador,00497F,497F
2019,gobernador,000498,498
2019,gobernador,000501,501
2019,gobernador,000502,502
2019,gobernador,000503,503
2019,gobernador,00503A,503A
2019,gobernador,000504,504
2019,gobernador,00504A,504A
2019,gobernador,000505,505
2019,gobernador,00505A,505A
2019,gobernador,00505B,505B
2019,gobernador,000508,508
2019,gobernador,00508A,508A
2019,gobernador,00508B,508B
2019,gobernador,00508C,508C
2019,gobernador,00508D,508D
2019,gobernador,00508E,508E
2019,gobernador,00508F,508F
2019,gobernador,00508G,508G
2019,gobernador,000509,509
2019,gobernador,00509A,509A
2019,gobernador,000516,516
2019,gobernador,000517,517
2019,gobernador,000518,518
2019,gobernador,000519,519
2019,gobernador,000520,520
2019,gobernador,000521,521
2019,intendente,000460,460
2019,intendente,000461,461
2019,intendente,000462,462
2019,intendente,000463,463
2019,intendente,000464,464
2019,intendente,000465,465
2019,intendente,000466,466
2019,intendente,000467,467
2019,intendente,000468,468
2019,intendente,000469,469
2019,intendente,000471,471
2019,intendente,000472,472
2019,intendente,000473,473
2019,intendente,000474,474
2019,intendente,000475,475
2019,intendente,000476,476
2019,intendente,000477,477
2019,intendente,000480,480
2019,intendente,000481,481
2019,intendente,000482,482
2019,intendente,000483,483
2019,intendente,000484,484
2019,intendente,000485,485
2019,intendente,000486,486
2019,intendente,000487,487
2019,intendente,000488,488
2019,intendente,000493,493
2019,intendente,000495,495
2019,intendente,000496,496
2019,intendente,00496A,496A
2019,intendente,00496B,496B
2019,intendente,00496C,496C
2019,intendente,00496D,496D
2019,intendente,00496E,496E
2019,intendente,000497,497
2019,intendente,00497A,497A
2019,intendente,00497B,497B
2019,intendente,00497C,497C
2019,intendente,00497D,497D
2019,intendente,00497E,497E
2019,intendente,00497F,497F
2019,intendente,000498,498
2019,intendente,000501,501
2019,intendente,000502,502
2019,intendente,000503,503
2019,intendente,00503A,503A
2019,intendente,000504,504
2019,intendente,00504A,504A
2019,intendente,000505,505
2019,intendente,00505A,505A
2019,intendente,00505B,505B
2019,intendente,000508,508
2019,intendente,00508A,508A
2019,intendente,00508B,508B
2019,intendente,00508C,508C
2019,intendente,00508D,508D
2019,intendente,00508E,508E
2019,intendente,00508F,508F
2019,intendente,00508G,508G
2019,intendente,000509,509
2019,intendente,00509A,509A
2019,intendente,000516,516
2019,intendente,000517,517
2019,intendente,000518,518
2019,intendente,000519,519
2019,intendente,000520,520
2019,intendente,000521,521
2019,presidente,000460,460
2019,presidente,000461,461
2019,presidente,000462,462
2019,presidente,000463,463
2019,presidente,000464,464
2019,presidente,000465,465
2019,presidente,000466,466
2019,presidente,000467,467
2019,presidente,000468,468
2019,presidente,000469,469
2019,presidente,000471,471
2019,presidente,000472,472
2019,presidente,000473,473
2019,presidente,000474,474
2019,presidente,000475,475
2019,presidente,000476,476
2019,presidente,000477,477
2019,presidente,000480,480
2019,presidente,000481,481
2019,presidente,000482,482
2019,presidente,000483,483
2019,presidente,000484,484
2019,presidente,000485,485
2019,presidente,000486,486
2019,presidente,000487,487
2019,presidente,000488,488
2019,presidente,000493,493
2019,presidente,000495,495
2019,presidente,000496,496
2019,presidente,00496A,496A
2019,presidente,00496B,496B
2019,presidente,00496C,496C
2019,presidente,00496D,496D
2019,presidente,00496E,496E
2019,presidente,000497,497
2019,presidente,00497A,497A
2019,presidente,00497B,497B
2019,presidente,00497C,497C
2019,presidente,00497D,497D
2019,presidente,00497E,497E
2019,presidente,00497F,497F
2019,presidente,000498,498
2019,presidente,000501,501
2019,presidente,000502,502
2019,presidente,000503,503
2019,presidente,00503A,503A
2019,presidente,000504,504
2019,presidente,00504A,504A
2019,presidente,000505,505
